item_no,category,main_promotion,color,stars,success_indicator
188084,T-Shirt,Category_Highlight,Multi-Color,1.4,flop
377713,T-Shirt,Catalog,Black,3.5,top
714806,Polo-Shirt,Catalog,Pink,4.0,top
438678,Tunic,Catalog,Green,2.8,flop
756863,Sweatshirt,Display_Ad_Campaign,Red,2.2,flop
945726,Sweatshirt,Display_Ad_Campaign,Black,3.4,top
962592,Blouse,Frontpage_Header,Blue,3.8,top
822596,Tunic,Display_Ad_Campaign,Black,2.6,top
795258,Polo-Shirt,Frontpage_Header,Orange,2.1,flop
920188,Sweatshirt,Display_Ad_Campaign,Red,4.3,top
213330,Polo-Shirt,Frontpage_Header,Yellow,2.4,flop
135546,T-Shirt,Category_Highlight,Black,2.9,top
975820,Blouse,Frontpage_Header,Red,5.0,top
289318,Sweatshirt,Frontpage_Header,Green,2.2,top
606458,Polo-Shirt,Frontpage_Header,Green,3.5,flop
539593,Sweatshirt,Category_Highlight,Red,1.7,flop
474109,T-Shirt,Catalog,Multi-Color,4.4,top
582326,T-Shirt,Display_Ad_Campaign,Black,3.8,top
983129,Tunic,Frontpage_Header,Blue,3.0,top
299877,T-Shirt,Catalog,Red,4.5,top
600100,Blouse,Frontpage_Header,Multi-Color,4.6,top
254129,Hoodie,Frontpage_Header,Yellow,2.4,flop
204987,Sweatshirt,Catalog,Yellow,4.1,flop
284234,Sweatshirt,Display_Ad_Campaign,White,3.5,flop
281891,Tunic,Category_Highlight,Green,4.4,top
548419,Blouse,Frontpage_Header,Black,4.3,flop
742911,Hoodie,Catalog,Orange,3.0,top
181200,Sweatshirt,Category_Highlight,Pink,3.7,top
709239,Sweatshirt,Catalog,Orange,4.9,top
468038,Sweatshirt,Display_Ad_Campaign,Blue,3.4,top
749643,Blouse,Frontpage_Header,Multi-Color,2.5,flop
139194,Sweatshirt,Display_Ad_Campaign,Orange,4.3,top
664161,Polo-Shirt,Catalog,Yellow,3.6,top
112842,Tunic,Category_Highlight,Blue,5.4,top
223457,Polo-Shirt,Category_Highlight,Green,3.9,flop
325026,Hoodie,Catalog,Orange,3.6,top
515257,Tunic,Category_Highlight,Green,3.4,flop
876008,Tunic,Frontpage_Header,Brown,4.0,top
485225,Sweatshirt,Catalog,Multi-Color,2.9,flop
355053,Blouse,Frontpage_Header,Blue,4.2,flop
602859,T-Shirt,Category_Highlight,Green,5.5,top
851816,T-Shirt,Category_Highlight,Multi-Color,3.1,top
672832,Tunic,Catalog,Multi-Color,3.6,flop
635154,T-Shirt,Frontpage_Header,Yellow,4.7,flop
661002,T-Shirt,Catalog,Multi-Color,1.2,flop
747463,Hoodie,Category_Highlight,Orange,2.4,flop
982109,Tunic,Category_Highlight,Multi-Color,3.6,top
192901,Polo-Shirt,Frontpage_Header,Yellow,2.1,flop
564216,Blouse,Catalog,Yellow,4.4,top
756665,Blouse,Catalog,Red,1.5,flop
917833,Blouse,Catalog,Orange,5.2,top
118032,Blouse,Frontpage_Header,Red,4.5,top
645856,Sweatshirt,Frontpage_Header,Multi-Color,2.7,flop
430112,Blouse,Display_Ad_Campaign,Brown,5.3,top
645732,Blouse,Frontpage_Header,Black,4.7,top
407924,Polo-Shirt,Category_Highlight,Multi-Color,2.6,flop
728952,Tunic,Display_Ad_Campaign,Multi-Color,4.5,flop
355773,Blouse,Frontpage_Header,Black,4.2,top
950765,Tunic,Category_Highlight,Blue,4.5,top
523631,Tunic,Category_Highlight,Brown,4.0,flop
153021,Hoodie,Catalog,Green,4.1,top
587288,Tunic,Category_Highlight,Multi-Color,3.9,flop
850726,Sweatshirt,Frontpage_Header,Green,4.0,top
354414,Blouse,Display_Ad_Campaign,Brown,5.8,top
207397,Blouse,Frontpage_Header,Red,4.1,top
584184,Polo-Shirt,Frontpage_Header,Brown,2.5,flop
842203,Tunic,Category_Highlight,Yellow,2.9,flop
349163,Hoodie,Catalog,Red,2.3,top
987603,Tunic,Category_Highlight,Brown,3.0,top
394455,Polo-Shirt,Display_Ad_Campaign,Pink,5.3,top
338234,Blouse,Catalog,Orange,4.6,top
221537,Sweatshirt,Catalog,Black,4.9,top
864016,T-Shirt,Category_Highlight,Yellow,5.1,top
461045,Blouse,Display_Ad_Campaign,Yellow,3.6,top
898966,Polo-Shirt,Category_Highlight,Brown,2.4,flop
518933,Tunic,Catalog,Red,2.8,top
924408,Sweatshirt,Display_Ad_Campaign,Black,3.5,top
378471,Sweatshirt,Frontpage_Header,Multi-Color,1.7,flop
876560,Blouse,Category_Highlight,White,2.1,flop
246280,Tunic,Category_Highlight,Red,3.6,flop
164201,Tunic,Display_Ad_Campaign,Multi-Color,4.2,top
394965,Polo-Shirt,Catalog,Multi-Color,2.7,top
602361,Tunic,Frontpage_Header,Red,2.5,flop
299204,Blouse,Display_Ad_Campaign,Brown,4.7,top
567167,T-Shirt,Category_Highlight,Black,2.9,top
763529,Hoodie,Catalog,Multi-Color,3.1,flop
783386,T-Shirt,Display_Ad_Campaign,Black,3.6,top
852221,Tunic,Frontpage_Header,Multi-Color,3.2,top
744606,Hoodie,Category_Highlight,Red,2.0,flop
878045,T-Shirt,Category_Highlight,Green,5.5,top
663710,Blouse,Category_Highlight,Multi-Color,4.1,top
583954,T-Shirt,Catalog,Blue,3.7,top
201197,Sweatshirt,Display_Ad_Campaign,Multi-Color,2.2,flop
611285,Tunic,Frontpage_Header,Multi-Color,3.4,top
703618,Tunic,Catalog,Green,2.7,flop
131457,Tunic,Category_Highlight,Multi-Color,3.0,flop
912972,Blouse,Display_Ad_Campaign,Brown,5.0,top
620762,Hoodie,Catalog,White,4.3,top
701098,Sweatshirt,Frontpage_Header,Orange,4.1,top
579704,Sweatshirt,Frontpage_Header,Blue,2.9,top
208356,Sweatshirt,Display_Ad_Campaign,Blue,3.7,top
825673,Blouse,Frontpage_Header,Blue,4.4,top
419953,Hoodie,Category_Highlight,Red,1.9,flop
660895,Blouse,Category_Highlight,White,2.5,flop
646429,Polo-Shirt,Frontpage_Header,Yellow,3.0,flop
846201,Polo-Shirt,Display_Ad_Campaign,White,1.8,flop
460120,Polo-Shirt,Category_Highlight,Red,3.5,flop
440308,Sweatshirt,Frontpage_Header,Green,3.1,top
530646,Blouse,Frontpage_Header,Red,4.7,top
448683,T-Shirt,Catalog,Yellow,4.2,top
661791,Blouse,Frontpage_Header,Pink,4.0,top
164581,T-Shirt,Frontpage_Header,Multi-Color,4.0,top
295366,Tunic,Category_Highlight,Yellow,2.6,flop
605940,T-Shirt,Category_Highlight,Red,3.5,top
921096,Tunic,Catalog,Brown,4.7,top
988701,Tunic,Category_Highlight,Blue,4.6,top
220762,Sweatshirt,Frontpage_Header,Yellow,3.0,top
749461,Tunic,Category_Highlight,Brown,3.5,top
815488,T-Shirt,Frontpage_Header,Black,4.2,top
172712,Polo-Shirt,Catalog,Pink,4.2,top
436065,Sweatshirt,Catalog,Red,1.0,top
939694,Hoodie,Category_Highlight,Pink,3.6,top
783368,T-Shirt,Catalog,Yellow,4.5,top
903102,Tunic,Category_Highlight,Blue,2.9,flop
792370,Hoodie,Category_Highlight,White,5.1,top
824128,Polo-Shirt,Catalog,Multi-Color,2.5,flop
985020,Blouse,Frontpage_Header,Blue,2.4,flop
792943,T-Shirt,Display_Ad_Campaign,Blue,3.5,top
867776,Sweatshirt,Catalog,Red,2.3,flop
488847,Polo-Shirt,Frontpage_Header,Brown,4.3,top
234068,Hoodie,Display_Ad_Campaign,Blue,3.3,top
226293,Sweatshirt,Category_Highlight,Orange,2.0,flop
405820,Hoodie,Frontpage_Header,Pink,2.8,top
181425,Hoodie,Display_Ad_Campaign,Yellow,3.3,flop
776267,Tunic,Frontpage_Header,White,2.6,top
387429,Tunic,Category_Highlight,Yellow,3.3,top
675057,T-Shirt,Catalog,Multi-Color,5.9,top
350446,Polo-Shirt,Category_Highlight,Brown,4.3,top
275369,Tunic,Category_Highlight,Brown,4.8,flop
278329,Hoodie,Catalog,Multi-Color,3.2,flop
295428,Polo-Shirt,Frontpage_Header,Pink,2.5,top
679459,Polo-Shirt,Frontpage_Header,Brown,2.6,flop
564998,Blouse,Category_Highlight,Red,4.3,top
448413,Sweatshirt,Frontpage_Header,Black,3.4,top
646884,Blouse,Frontpage_Header,Black,4.8,top
147068,T-Shirt,Frontpage_Header,Multi-Color,4.6,top
803782,T-Shirt,Catalog,Black,3.5,top
568844,Polo-Shirt,Frontpage_Header,Blue,3.9,top
205023,Hoodie,Category_Highlight,White,4.5,top
138454,Blouse,Display_Ad_Campaign,Black,4.6,top
939800,Sweatshirt,Display_Ad_Campaign,Blue,3.3,top
236450,Tunic,Category_Highlight,Blue,4.4,top
618914,T-Shirt,Category_Highlight,Green,5.2,top
734148,Hoodie,Display_Ad_Campaign,Green,3.8,top
523358,T-Shirt,Frontpage_Header,Multi-Color,4.0,top
787604,Polo-Shirt,Catalog,Multi-Color,2.8,flop
473749,Polo-Shirt,Catalog,Green,3.8,top
818429,Sweatshirt,Frontpage_Header,Pink,3.3,top
481500,T-Shirt,Catalog,Black,3.3,top
487415,T-Shirt,Frontpage_Header,Pink,4.5,top
511707,Polo-Shirt,Frontpage_Header,Brown,3.4,flop
273801,T-Shirt,Catalog,White,4.6,flop
607387,T-Shirt,Catalog,Red,4.0,top
516737,Hoodie,Catalog,Yellow,2.4,flop
126718,Sweatshirt,Category_Highlight,Pink,2.9,top
605239,Polo-Shirt,Catalog,Yellow,3.8,top
662523,Tunic,Category_Highlight,Green,3.9,top
426700,T-Shirt,Category_Highlight,Green,3.9,top
679147,Tunic,Catalog,Green,2.6,flop
293626,T-Shirt,Frontpage_Header,Yellow,4.6,top
975561,Polo-Shirt,Display_Ad_Campaign,Yellow,3.8,top
248057,Hoodie,Category_Highlight,Orange,3.5,top
355537,T-Shirt,Frontpage_Header,Yellow,4.3,top
567647,Sweatshirt,Category_Highlight,Red,1.8,flop
627809,Tunic,Category_Highlight,Brown,2.8,flop
639862,Polo-Shirt,Category_Highlight,Black,3.6,top
809564,Hoodie,Catalog,Orange,3.2,top
267898,Sweatshirt,Category_Highlight,Red,1.5,flop
619560,Tunic,Category_Highlight,Red,3.0,flop
360293,Tunic,Catalog,Multi-Color,3.2,top
236017,Polo-Shirt,Category_Highlight,Brown,2.6,flop
166638,Blouse,Frontpage_Header,Blue,2.9,top
162608,T-Shirt,Catalog,Green,3.8,top
404723,Tunic,Display_Ad_Campaign,Blue,2.6,flop
968337,Sweatshirt,Catalog,Red,0.7,flop
524822,Sweatshirt,Frontpage_Header,Blue,2.6,top
960361,Hoodie,Catalog,Green,4.2,top
501164,Tunic,Frontpage_Header,Blue,3.0,top
759457,T-Shirt,Catalog,Black,3.9,top
529446,Polo-Shirt,Category_Highlight,Multi-Color,3.4,flop
602296,Polo-Shirt,Catalog,Blue,2.2,flop
480825,Hoodie,Category_Highlight,Yellow,3.8,top
802254,T-Shirt,Catalog,Black,3.9,top
196003,Hoodie,Catalog,Yellow,3.3,top
748701,Sweatshirt,Frontpage_Header,Green,3.4,top
624118,T-Shirt,Category_Highlight,Yellow,5.1,top
589695,Blouse,Catalog,Orange,3.3,top
948373,Tunic,Frontpage_Header,Red,3.2,top
322053,Tunic,Frontpage_Header,Blue,3.9,top
726867,Polo-Shirt,Category_Highlight,Brown,2.9,flop
210614,Sweatshirt,Display_Ad_Campaign,Blue,3.3,top
774934,Hoodie,Catalog,Orange,2.8,top
824811,Blouse,Category_Highlight,Blue,2.6,flop
672942,Sweatshirt,Catalog,Multi-Color,2.3,flop
750221,Polo-Shirt,Category_Highlight,Brown,3.5,top
742462,Polo-Shirt,Frontpage_Header,Yellow,3.0,top
374713,Tunic,Category_Highlight,Blue,3.1,flop
736497,Tunic,Frontpage_Header,Blue,2.8,top
822832,Tunic,Frontpage_Header,Multi-Color,3.0,top
308606,Tunic,Category_Highlight,Red,2.5,flop
191454,Sweatshirt,Display_Ad_Campaign,Blue,4.0,flop
602381,Blouse,Frontpage_Header,Red,4.1,top
908315,Blouse,Catalog,Yellow,4.2,flop
423907,Tunic,Frontpage_Header,Green,3.6,top
283945,Sweatshirt,Catalog,Black,5.2,top
760199,Polo-Shirt,Catalog,Blue,1.6,flop
340510,Polo-Shirt,Category_Highlight,Brown,4.0,top
911454,Tunic,Category_Highlight,Red,3.5,flop
400651,Hoodie,Catalog,Multi-Color,2.4,flop
207433,Tunic,Frontpage_Header,Multi-Color,2.8,top
188771,Blouse,Frontpage_Header,Blue,3.3,top
743722,Tunic,Category_Highlight,Multi-Color,3.0,flop
709742,Blouse,Frontpage_Header,Multi-Color,2.5,flop
641692,Polo-Shirt,Catalog,Multi-Color,2.9,flop
359559,Tunic,Category_Highlight,Blue,4.9,top
150311,Polo-Shirt,Frontpage_Header,Yellow,2.5,flop
915208,T-Shirt,Category_Highlight,Green,4.7,top
415824,Blouse,Category_Highlight,Blue,2.4,flop
387140,Blouse,Catalog,Yellow,4.2,top
263004,Tunic,Category_Highlight,Yellow,4.1,top
512554,T-Shirt,Frontpage_Header,Multi-Color,4.8,top
871811,Polo-Shirt,Category_Highlight,Multi-Color,3.2,flop
926057,Sweatshirt,Frontpage_Header,Orange,3.3,top
546561,Sweatshirt,Frontpage_Header,Blue,2.6,top
698743,Polo-Shirt,Category_Highlight,Orange,2.7,flop
846284,T-Shirt,Catalog,Blue,2.7,top
570814,Polo-Shirt,Display_Ad_Campaign,Pink,2.9,top
677742,Polo-Shirt,Catalog,Pink,3.6,top
401209,Tunic,Category_Highlight,Orange,2.5,flop
343442,Blouse,Category_Highlight,Green,5.5,top
325851,Tunic,Category_Highlight,Brown,4.3,top
732079,T-Shirt,Catalog,Black,3.2,top
568586,Sweatshirt,Frontpage_Header,Red,4.5,top
781021,Polo-Shirt,Catalog,Blue,1.7,flop
766531,Tunic,Category_Highlight,Red,3.3,flop
838128,Sweatshirt,Frontpage_Header,Blue,3.2,top
742468,Tunic,Category_Highlight,White,4.7,top
247337,Polo-Shirt,Category_Highlight,Blue,5.0,top
540628,Blouse,Frontpage_Header,Multi-Color,2.8,flop
673319,Blouse,Frontpage_Header,Blue,3.4,flop
591803,Polo-Shirt,Category_Highlight,Blue,4.3,top
370384,Blouse,Category_Highlight,Red,3.8,top
175704,T-Shirt,Category_Highlight,Black,2.5,top
117874,Tunic,Catalog,Blue,1.5,flop
234611,T-Shirt,Catalog,Blue,3.1,top
666764,Blouse,Frontpage_Header,Black,5.0,top
677151,Tunic,Catalog,Pink,3.7,top
881298,Polo-Shirt,Category_Highlight,Blue,3.5,flop
792752,Sweatshirt,Category_Highlight,Red,1.7,top
641207,Blouse,Display_Ad_Campaign,White,5.2,top
574134,Sweatshirt,Frontpage_Header,Yellow,2.9,top
175436,Tunic,Category_Highlight,Brown,4.1,top
890340,T-Shirt,Category_Highlight,Yellow,4.3,top
868665,Blouse,Frontpage_Header,Multi-Color,2.9,top
449534,Hoodie,Frontpage_Header,Pink,3.1,top
586772,T-Shirt,Category_Highlight,Brown,4.9,flop
543041,Sweatshirt,Category_Highlight,Red,1.3,flop
767028,Sweatshirt,Category_Highlight,Red,0.9,flop
577737,Sweatshirt,Catalog,Red,2.7,flop
213213,Sweatshirt,Display_Ad_Campaign,Orange,1.8,flop
974688,T-Shirt,Catalog,Multi-Color,1.9,flop
487104,Polo-Shirt,Frontpage_Header,Brown,2.4,top
743250,Tunic,Category_Highlight,Brown,3.8,top
372269,T-Shirt,Display_Ad_Campaign,Black,3.3,top
879229,Sweatshirt,Frontpage_Header,Green,3.1,top
325639,Polo-Shirt,Display_Ad_Campaign,Yellow,5.5,flop
931953,Hoodie,Category_Highlight,Green,3.3,top
303351,Polo-Shirt,Category_Highlight,Blue,4.2,top
632064,T-Shirt,Frontpage_Header,Yellow,4.9,top
580273,Tunic,Catalog,Red,3.4,flop
344048,Polo-Shirt,Catalog,Orange,3.5,top
861294,Sweatshirt,Category_Highlight,Red,2.3,top
366675,Blouse,Category_Highlight,Multi-Color,1.5,flop
431831,Tunic,Category_Highlight,Green,5.2,top
426362,Sweatshirt,Catalog,Blue,3.8,top
744427,T-Shirt,Frontpage_Header,Yellow,4.0,top
727565,Sweatshirt,Catalog,Yellow,3.2,top
419439,T-Shirt,Category_Highlight,Red,4.4,top
850133,Tunic,Category_Highlight,Blue,4.4,top
191983,Blouse,Frontpage_Header,Multi-Color,2.1,flop
596153,Sweatshirt,Catalog,Black,5.3,top
110652,T-Shirt,Display_Ad_Campaign,Multi-Color,1.2,flop
649222,Polo-Shirt,Frontpage_Header,Brown,2.9,flop
395414,Hoodie,Category_Highlight,White,4.0,top
842091,Blouse,Frontpage_Header,Pink,5.1,top
198568,Blouse,Category_Highlight,Blue,3.0,flop
530000,Tunic,Category_Highlight,Multi-Color,3.2,flop
615368,Polo-Shirt,Frontpage_Header,Yellow,2.6,flop
734340,Tunic,Category_Highlight,Multi-Color,3.6,top
865120,Polo-Shirt,Display_Ad_Campaign,Orange,3.2,top
424322,T-Shirt,Catalog,Multi-Color,1.9,flop
624317,Polo-Shirt,Catalog,Green,3.7,top
318378,Hoodie,Display_Ad_Campaign,Blue,4.3,flop
206113,Hoodie,Category_Highlight,Black,3.8,top
275172,Polo-Shirt,Display_Ad_Campaign,Yellow,4.9,top
554027,Blouse,Category_Highlight,Blue,2.9,top
626341,Polo-Shirt,Frontpage_Header,Multi-Color,2.7,top
765314,Polo-Shirt,Catalog,Green,2.9,top
686181,Polo-Shirt,Category_Highlight,Blue,3.3,top
179839,Tunic,Category_Highlight,Yellow,2.4,flop
536950,Tunic,Category_Highlight,Brown,4.6,top
217180,T-Shirt,Frontpage_Header,Multi-Color,4.4,top
140310,Blouse,Frontpage_Header,Blue,3.9,top
473154,Blouse,Display_Ad_Campaign,Blue,4.6,top
523785,Polo-Shirt,Frontpage_Header,Yellow,3.5,flop
731347,Tunic,Catalog,Multi-Color,3.2,top
989665,T-Shirt,Category_Highlight,Yellow,3.7,top
308925,Polo-Shirt,Frontpage_Header,Multi-Color,3.5,flop
895710,Tunic,Category_Highlight,Yellow,1.9,flop
283043,Sweatshirt,Display_Ad_Campaign,Blue,3.1,top
943327,Blouse,Frontpage_Header,Blue,2.5,top
219025,Blouse,Frontpage_Header,Blue,4.1,top
639640,Sweatshirt,Category_Highlight,Multi-Color,0.8,flop
285275,Sweatshirt,Catalog,Black,4.3,top
982592,Polo-Shirt,Category_Highlight,Green,3.4,top
749637,Polo-Shirt,Category_Highlight,Blue,3.3,top
345294,Blouse,Catalog,Green,4.3,top
778336,Sweatshirt,Catalog,Black,4.2,top
566806,Blouse,Frontpage_Header,Blue,3.9,top
893228,Blouse,Frontpage_Header,Blue,4.3,top
738362,T-Shirt,Category_Highlight,Multi-Color,3.1,top
276596,Tunic,Frontpage_Header,Blue,3.1,top
446081,Polo-Shirt,Frontpage_Header,Yellow,3.0,flop
848162,Sweatshirt,Catalog,Multi-Color,2.8,flop
313920,Blouse,Category_Highlight,Yellow,3.4,top
453762,Hoodie,Display_Ad_Campaign,Orange,5.0,flop
356526,Hoodie,Catalog,Green,3.4,top
